"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","1979",64.38335,
"AUS","EMP","TOT","PC_WKGPOP","A","1980",65.17445,
"AUS","EMP","TOT","PC_WKGPOP","A","1981",65.36742,
"AUS","EMP","TOT","PC_WKGPOP","A","1982",64.16441,
"AUS","EMP","TOT","PC_WKGPOP","A","1983",61.94022,
"AUS","EMP","TOT","PC_WKGPOP","A","1984",62.82397,
"AUS","EMP","TOT","PC_WKGPOP","A","1985",63.7218,
"AUS","EMP","TOT","PC_WKGPOP","A","1986",65.14481,
"AUS","EMP","TOT","PC_WKGPOP","A","1987",65.30288,
"AUS","EMP","TOT","PC_WKGPOP","A","1988",66.48173,
"AUS","EMP","TOT","PC_WKGPOP","A","1989",68.19857,
"AUS","EMP","TOT","PC_WKGPOP","A","1990",68.37136,
"AUS","EMP","TOT","PC_WKGPOP","A","1991",65.9215,
"AUS","EMP","TOT","PC_WKGPOP","A","1992",64.93269,
"AUS","EMP","TOT","PC_WKGPOP","A","1993",64.61858,
"AUS","EMP","TOT","PC_WKGPOP","A","1994",66.00251,
"AUS","EMP","TOT","PC_WKGPOP","A","1995",67.62838,
"AUS","EMP","TOT","PC_WKGPOP","A","1996",67.66373,
"AUS","EMP","TOT","PC_WKGPOP","A","1997",67.36479,
"AUS","EMP","TOT","PC_WKGPOP","A","1998",67.80048,
"AUS","EMP","TOT","PC_WKGPOP","A","1999",68.23203,
"AUS","EMP","TOT","PC_WKGPOP","A","2000",69.09614,
"AUS","EMP","TOT","PC_WKGPOP","A","2001",69.00098,
"AUS","EMP","TOT","PC_WKGPOP","A","2002",69.35914,
"AUS","EMP","TOT","PC_WKGPOP","A","2003",70.01125,
"AUS","EMP","TOT","PC_WKGPOP","A","2004",70.29926,
"AUS","EMP","TOT","PC_WKGPOP","A","2005",71.54403,
"AUS","EMP","TOT","PC_WKGPOP","A","2006",72.12262,
"AUS","EMP","TOT","PC_WKGPOP","A","2007",72.80006,
"AUS","EMP","TOT","PC_WKGPOP","A","2008",73.20431,
"AUS","EMP","TOT","PC_WKGPOP","A","2009",72.05107,
"AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,
"AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65694,
"AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34558,
"AUS","EMP","TOT","PC_WKGPOP","A","2013",71.97044,
"AUS","EMP","TOT","PC_WKGPOP","A","2014",71.56635,
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15796,
"AUS","EMP","TOT","PC_WKGPOP","A","2016",72.4315,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98936,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.76588,
"AUS","EMP","TOT","PC_WKGPOP","A","2019",74.32264,
"AUS","EMP","TOT","PC_WKGPOP","A","2020",72.70296,
"AUS","EMP","TOT","PC_WKGPOP","A","2021",74.97159,
"AUT","EMP","TOT","PC_WKGPOP","A","1999",68.525,
"AUT","EMP","TOT","PC_WKGPOP","A","2000",68.5,
"AUT","EMP","TOT","PC_WKGPOP","A","2001",68.375,
"AUT","EMP","TOT","PC_WKGPOP","A","2002",68.75,
"AUT","EMP","TOT","PC_WKGPOP","A","2003",68.95,"B"
"AUT","EMP","TOT","PC_WKGPOP","A","2004",66.525,"B"
"AUT","EMP","TOT","PC_WKGPOP","A","2005",67.4,
"AUT","EMP","TOT","PC_WKGPOP","A","2006",68.575,"B"
"AUT","EMP","TOT","PC_WKGPOP","A","2007",69.875,
"AUT","EMP","TOT","PC_WKGPOP","A","2008",70.825,
"AUT","EMP","TOT","PC_WKGPOP","A","2009",70.325,
"AUT","EMP","TOT","PC_WKGPOP","A","2010",70.775,
"AUT","EMP","TOT","PC_WKGPOP","A","2011",71.1,
"AUT","EMP","TOT","PC_WKGPOP","A","2012",71.425,
"AUT","EMP","TOT","PC_WKGPOP","A","2013",71.4,
"AUT","EMP","TOT","PC_WKGPOP","A","2014",71.075,
"AUT","EMP","TOT","PC_WKGPOP","A","2015",71.1,
"AUT","EMP","TOT","PC_WKGPOP","A","2016",71.55,
"AUT","EMP","TOT","PC_WKGPOP","A","2017",72.2,
"AUT","EMP","TOT","PC_WKGPOP","A","2018",73.025,
"AUT","EMP","TOT","PC_WKGPOP","A","2019",73.525,
"AUT","EMP","TOT","PC_WKGPOP","A","2020",71.725,
"AUT","EMP","TOT","PC_WKGPOP","A","2021",72.4,
"BEL","EMP","TOT","PC_WKGPOP","A","1999",59.3,
"BEL","EMP","TOT","PC_WKGPOP","A","2000",60.525,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2001",59.95,
"BEL","EMP","TOT","PC_WKGPOP","A","2002",59.9,
"BEL","EMP","TOT","PC_WKGPOP","A","2003",59.6,
"BEL","EMP","TOT","PC_WKGPOP","A","2004",60.35,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2005",61.075,
"BEL","EMP","TOT","PC_WKGPOP","A","2006",61,
"BEL","EMP","TOT","PC_WKGPOP","A","2007",62.025,
"BEL","EMP","TOT","PC_WKGPOP","A","2008",62.4,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2009",61.6,
"BEL","EMP","TOT","PC_WKGPOP","A","2010",62.025,
"BEL","EMP","TOT","PC_WKGPOP","A","2011",61.925,
"BEL","EMP","TOT","PC_WKGPOP","A","2012",61.825,
"BEL","EMP","TOT","PC_WKGPOP","A","2013",61.8,
"BEL","EMP","TOT","PC_WKGPOP","A","2014",61.9,
"BEL","EMP","TOT","PC_WKGPOP","A","2015",61.8,
"BEL","EMP","TOT","PC_WKGPOP","A","2016",62.3,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2017",63.125,
"BEL","EMP","TOT","PC_WKGPOP","A","2018",64.45,
"BEL","EMP","TOT","PC_WKGPOP","A","2019",65.3,
"BEL","EMP","TOT","PC_WKGPOP","A","2020",64.45,
"BEL","EMP","TOT","PC_WKGPOP","A","2021",65.3,
"CAN","EMP","TOT","PC_WKGPOP","A","1976",63.075,
"CAN","EMP","TOT","PC_WKGPOP","A","1977",62.93333,
"CAN","EMP","TOT","PC_WKGPOP","A","1978",63.7,
"CAN","EMP","TOT","PC_WKGPOP","A","1979",65.38333,
"CAN","EMP","TOT","PC_WKGPOP","A","1980",66.13333,
"CAN","EMP","TOT","PC_WKGPOP","A","1981",67,
"CAN","EMP","TOT","PC_WKGPOP","A","1982",63.90833,
"CAN","EMP","TOT","PC_WKGPOP","A","1983",63.65833,
"CAN","EMP","TOT","PC_WKGPOP","A","1984",64.58334,
"CAN","EMP","TOT","PC_WKGPOP","A","1985",66.00833,
"CAN","EMP","TOT","PC_WKGPOP","A","1986",67.40833,
"CAN","EMP","TOT","PC_WKGPOP","A","1987",68.575,
"CAN","EMP","TOT","PC_WKGPOP","A","1988",69.98333,
"CAN","EMP","TOT","PC_WKGPOP","A","1989",70.76667,
"CAN","EMP","TOT","PC_WKGPOP","A","1990",70.35,
"CAN","EMP","TOT","PC_WKGPOP","A","1991",68.25833,
"CAN","EMP","TOT","PC_WKGPOP","A","1992",66.80833,
"CAN","EMP","TOT","PC_WKGPOP","A","1993",66.45834,
"CAN","EMP","TOT","PC_WKGPOP","A","1994",67.025,
"CAN","EMP","TOT","PC_WKGPOP","A","1995",67.525,
"CAN","EMP","TOT","PC_WKGPOP","A","1996",67.35,
"CAN","EMP","TOT","PC_WKGPOP","A","1997",67.98333,
"CAN","EMP","TOT","PC_WKGPOP","A","1998",68.95,
"CAN","EMP","TOT","PC_WKGPOP","A","1999",69.98333,
"CAN","EMP","TOT","PC_WKGPOP","A","2000",70.9,
"CAN","EMP","TOT","PC_WKGPOP","A","2001",70.79166,
"CAN","EMP","TOT","PC_WKGPOP","A","2002",71.41666,
"CAN","EMP","TOT","PC_WKGPOP","A","2003",72.18333,
"CAN","EMP","TOT","PC_WKGPOP","A","2004",72.45,
"CAN","EMP","TOT","PC_WKGPOP","A","2005",72.44167,
"CAN","EMP","TOT","PC_WKGPOP","A","2006",72.70834,
"CAN","EMP","TOT","PC_WKGPOP","A","2007",73.325,
"CAN","EMP","TOT","PC_WKGPOP","A","2008",73.35,
"CAN","EMP","TOT","PC_WKGPOP","A","2009",71.26667,
"CAN","EMP","TOT","PC_WKGPOP","A","2010",71.29166,
"CAN","EMP","TOT","PC_WKGPOP","A","2011",71.71667,
"CAN","EMP","TOT","PC_WKGPOP","A","2012",71.925,
"CAN","EMP","TOT","PC_WKGPOP","A","2013",72.29166,
"CAN","EMP","TOT","PC_WKGPOP","A","2014",72.13333,
"CAN","EMP","TOT","PC_WKGPOP","A","2015",72.35833,
"CAN","EMP","TOT","PC_WKGPOP","A","2016",72.33334,
"CAN","EMP","TOT","PC_WKGPOP","A","2017",73.15833,
"CAN","EMP","TOT","PC_WKGPOP","A","2018",73.53333,
"CAN","EMP","TOT","PC_WKGPOP","A","2019",74.15,
"CAN","EMP","TOT","PC_WKGPOP","A","2020",69.96667,
"CAN","EMP","TOT","PC_WKGPOP","A","2021",73.23333,
"CZE","EMP","TOT","PC_WKGPOP","A","1998",67.325,
"CZE","EMP","TOT","PC_WKGPOP","A","1999",65.625,
"CZE","EMP","TOT","PC_WKGPOP","A","2000",64.975,
"CZE","EMP","TOT","PC_WKGPOP","A","2001",65.025,
"CZE","EMP","TOT","PC_WKGPOP","A","2002",65.425,
"CZE","EMP","TOT","PC_WKGPOP","A","2003",64.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2004",64.175,"B"
"CZE","EMP","TOT","PC_WKGPOP","A","2005",64.8,
"CZE","EMP","TOT","PC_WKGPOP","A","2006",65.275,
"CZE","EMP","TOT","PC_WKGPOP","A","2007",66.075,
"CZE","EMP","TOT","PC_WKGPOP","A","2008",66.55,
"CZE","EMP","TOT","PC_WKGPOP","A","2009",65.375,
"CZE","EMP","TOT","PC_WKGPOP","A","2010",64.975,"B"
"CZE","EMP","TOT","PC_WKGPOP","A","2011",65.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2012",66.55,
"CZE","EMP","TOT","PC_WKGPOP","A","2013",67.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2014",68.975,
"CZE","EMP","TOT","PC_WKGPOP","A","2015",70.225,
"CZE","EMP","TOT","PC_WKGPOP","A","2016",71.95,
"CZE","EMP","TOT","PC_WKGPOP","A","2017",73.625,
"CZE","EMP","TOT","PC_WKGPOP","A","2018",74.825,
"CZE","EMP","TOT","PC_WKGPOP","A","2019",75.125,
"CZE","EMP","TOT","PC_WKGPOP","A","2020",74.4,
"CZE","EMP","TOT","PC_WKGPOP","A","2021",74.4,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","1999",76.05,
"DNK","EMP","TOT","PC_WKGPOP","A","2000",76.25,
"DNK","EMP","TOT","PC_WKGPOP","A","2001",76.2,
"DNK","EMP","TOT","PC_WKGPOP","A","2002",75.875,
"DNK","EMP","TOT","PC_WKGPOP","A","2003",75.125,
"DNK","EMP","TOT","PC_WKGPOP","A","2004",75.675,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2005",75.9,
"DNK","EMP","TOT","PC_WKGPOP","A","2006",77.375,
"DNK","EMP","TOT","PC_WKGPOP","A","2007",77,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2008",76.325,
"DNK","EMP","TOT","PC_WKGPOP","A","2009",73.525,
"DNK","EMP","TOT","PC_WKGPOP","A","2010",71.8,
"DNK","EMP","TOT","PC_WKGPOP","A","2011",71.625,
"DNK","EMP","TOT","PC_WKGPOP","A","2012",71.025,
"DNK","EMP","TOT","PC_WKGPOP","A","2013",70.775,
"DNK","EMP","TOT","PC_WKGPOP","A","2014",71.1,
"DNK","EMP","TOT","PC_WKGPOP","A","2015",71.975,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2016",72.675,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2017",73.225,
"DNK","EMP","TOT","PC_WKGPOP","A","2018",74.125,
"DNK","EMP","TOT","PC_WKGPOP","A","2019",75,
"DNK","EMP","TOT","PC_WKGPOP","A","2020",74.425,
"DNK","EMP","TOT","PC_WKGPOP","A","2021",75.55,
"FIN","EMP","TOT","PC_WKGPOP","A","1998",64.05,
"FIN","EMP","TOT","PC_WKGPOP","A","1999",66.275,"B"
"FIN","EMP","TOT","PC_WKGPOP","A","2000",67.15,
"FIN","EMP","TOT","PC_WKGPOP","A","2001",68.125,
"FIN","EMP","TOT","PC_WKGPOP","A","2002",68.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2003",67.7,
"FIN","EMP","TOT","PC_WKGPOP","A","2004",67.65,"B"
"FIN","EMP","TOT","PC_WKGPOP","A","2005",68.375,
"FIN","EMP","TOT","PC_WKGPOP","A","2006",69.35,
"FIN","EMP","TOT","PC_WKGPOP","A","2007",70.3,"B"
"FIN","EMP","TOT","PC_WKGPOP","A","2008",71.05,"B"
"FIN","EMP","TOT","PC_WKGPOP","A","2009",67.9,
"FIN","EMP","TOT","PC_WKGPOP","A","2010",67.15,
"FIN","EMP","TOT","PC_WKGPOP","A","2011",68,
"FIN","EMP","TOT","PC_WKGPOP","A","2012",68.45,
"FIN","EMP","TOT","PC_WKGPOP","A","2013",68.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2014",67.95,
"FIN","EMP","TOT","PC_WKGPOP","A","2015",67.55,
"FIN","EMP","TOT","PC_WKGPOP","A","2016",68.225,
"FIN","EMP","TOT","PC_WKGPOP","A","2017",69.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2018",71.15,
"FIN","EMP","TOT","PC_WKGPOP","A","2019",72,
"FIN","EMP","TOT","PC_WKGPOP","A","2020",71.175,
"FIN","EMP","TOT","PC_WKGPOP","A","2021",72.65,
"FRA","EMP","TOT","PC_WKGPOP","A","2003",64.425,
"FRA","EMP","TOT","PC_WKGPOP","A","2004",64.225,
"FRA","EMP","TOT","PC_WKGPOP","A","2005",64.15,
"FRA","EMP","TOT","PC_WKGPOP","A","2006",64.15,
"FRA","EMP","TOT","PC_WKGPOP","A","2007",64.725,
"FRA","EMP","TOT","PC_WKGPOP","A","2008",65.3,
"FRA","EMP","TOT","PC_WKGPOP","A","2009",64.425,
"FRA","EMP","TOT","PC_WKGPOP","A","2010",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2011",64.3,
"FRA","EMP","TOT","PC_WKGPOP","A","2012",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2013",64.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2014",64.525,
"FRA","EMP","TOT","PC_WKGPOP","A","2015",64.7,
"FRA","EMP","TOT","PC_WKGPOP","A","2016",65,
"FRA","EMP","TOT","PC_WKGPOP","A","2017",65.55,
"FRA","EMP","TOT","PC_WKGPOP","A","2018",66.15,
"FRA","EMP","TOT","PC_WKGPOP","A","2019",66.375,
"FRA","EMP","TOT","PC_WKGPOP","A","2020",66.1,
"FRA","EMP","TOT","PC_WKGPOP","A","2021",67.25,
"DEU","EMP","TOT","PC_WKGPOP","A","2005",65.45,
"DEU","EMP","TOT","PC_WKGPOP","A","2006",67.15,
"DEU","EMP","TOT","PC_WKGPOP","A","2007",68.975,
"DEU","EMP","TOT","PC_WKGPOP","A","2008",70.1,
"DEU","EMP","TOT","PC_WKGPOP","A","2009",69.375,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2010",70.3,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2011",71.775,
"DEU","EMP","TOT","PC_WKGPOP","A","2012",72.05,
"DEU","EMP","TOT","PC_WKGPOP","A","2013",72.525,
"DEU","EMP","TOT","PC_WKGPOP","A","2014",72.8,
"DEU","EMP","TOT","PC_WKGPOP","A","2015",73,
"DEU","EMP","TOT","PC_WKGPOP","A","2016",73.675,
"DEU","EMP","TOT","PC_WKGPOP","A","2017",74.25,
"DEU","EMP","TOT","PC_WKGPOP","A","2018",74.9,
"DEU","EMP","TOT","PC_WKGPOP","A","2019",75.65,"B"
"DEU","EMP","TOT","PC_WKGPOP","A","2020",76.15579,"E"
"DEU","EMP","TOT","PC_WKGPOP","A","2021",75.775,
"GRC","EMP","TOT","PC_WKGPOP","A","1998",55.975,
"GRC","EMP","TOT","PC_WKGPOP","A","1999",55.9,
"GRC","EMP","TOT","PC_WKGPOP","A","2000",56.45,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2001",56.325,
"GRC","EMP","TOT","PC_WKGPOP","A","2002",57.375,
"GRC","EMP","TOT","PC_WKGPOP","A","2003",58.5,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2004",59.075,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2005",59.625,
"GRC","EMP","TOT","PC_WKGPOP","A","2006",60.55,
"GRC","EMP","TOT","PC_WKGPOP","A","2007",60.875,
"GRC","EMP","TOT","PC_WKGPOP","A","2008",61.425,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2009",60.675,
"GRC","EMP","TOT","PC_WKGPOP","A","2010",58.85,
"GRC","EMP","TOT","PC_WKGPOP","A","2011",54.85,
"GRC","EMP","TOT","PC_WKGPOP","A","2012",50.425,
"GRC","EMP","TOT","PC_WKGPOP","A","2013",48.475,
"GRC","EMP","TOT","PC_WKGPOP","A","2014",49.225,
"GRC","EMP","TOT","PC_WKGPOP","A","2015",50.7,
"GRC","EMP","TOT","PC_WKGPOP","A","2016",51.775,
"GRC","EMP","TOT","PC_WKGPOP","A","2017",53.225,
"GRC","EMP","TOT","PC_WKGPOP","A","2018",54.525,
"GRC","EMP","TOT","PC_WKGPOP","A","2019",56.125,
"GRC","EMP","TOT","PC_WKGPOP","A","2020",53.675,
"GRC","EMP","TOT","PC_WKGPOP","A","2021",57.25,
"HUN","EMP","TOT","PC_WKGPOP","A","1999",55.55,
"HUN","EMP","TOT","PC_WKGPOP","A","2000",56.225,"B"
"HUN","EMP","TOT","PC_WKGPOP","A","2001",56.2,
"HUN","EMP","TOT","PC_WKGPOP","A","2002",56.225,
"HUN","EMP","TOT","PC_WKGPOP","A","2003",57.025,
"HUN","EMP","TOT","PC_WKGPOP","A","2004",56.75,"B"
"HUN","EMP","TOT","PC_WKGPOP","A","2005",56.9,
"HUN","EMP","TOT","PC_WKGPOP","A","2006",57.35,
"HUN","EMP","TOT","PC_WKGPOP","A","2007",57.025,
"HUN","EMP","TOT","PC_WKGPOP","A","2008",56.4,
"HUN","EMP","TOT","PC_WKGPOP","A","2009",57.2,
"HUN","EMP","TOT","PC_WKGPOP","A","2010",57.05,
"HUN","EMP","TOT","PC_WKGPOP","A","2011",57.55,
"HUN","EMP","TOT","PC_WKGPOP","A","2012",58.625,
"HUN","EMP","TOT","PC_WKGPOP","A","2013",60.125,
"HUN","EMP","TOT","PC_WKGPOP","A","2014",63.65,
"HUN","EMP","TOT","PC_WKGPOP","A","2015",65.85,
"HUN","EMP","TOT","PC_WKGPOP","A","2016",68.525,
"HUN","EMP","TOT","PC_WKGPOP","A","2017",70.175,
"HUN","EMP","TOT","PC_WKGPOP","A","2018",71.4,
"HUN","EMP","TOT","PC_WKGPOP","A","2019",72.225,
"HUN","EMP","TOT","PC_WKGPOP","A","2020",71.95,
"HUN","EMP","TOT","PC_WKGPOP","A","2021",73.075,
"ISL","EMP","TOT","PC_WKGPOP","A","2003",83.25,
"ISL","EMP","TOT","PC_WKGPOP","A","2004",82.275,
"ISL","EMP","TOT","PC_WKGPOP","A","2005",83.775,
"ISL","EMP","TOT","PC_WKGPOP","A","2006",84.6,
"ISL","EMP","TOT","PC_WKGPOP","A","2007",85.15,"B"
"ISL","EMP","TOT","PC_WKGPOP","A","2008",83.575,
"ISL","EMP","TOT","PC_WKGPOP","A","2009",78.325,
"ISL","EMP","TOT","PC_WKGPOP","A","2010",78.175,
"ISL","EMP","TOT","PC_WKGPOP","A","2011",78.475,
"ISL","EMP","TOT","PC_WKGPOP","A","2012",79.675,
"ISL","EMP","TOT","PC_WKGPOP","A","2013",81.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2014",82.95,
"ISL","EMP","TOT","PC_WKGPOP","A","2015",84.725,
"ISL","EMP","TOT","PC_WKGPOP","A","2016",86.525,
"ISL","EMP","TOT","PC_WKGPOP","A","2017",86.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2018",85.075,
"ISL","EMP","TOT","PC_WKGPOP","A","2019",84.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2020",80.3,"B"
"ISL","EMP","TOT","PC_WKGPOP","A","2021",79.75,
"IRL","EMP","TOT","PC_WKGPOP","A","2000",65.15,
"IRL","EMP","TOT","PC_WKGPOP","A","2001",65.825,
"IRL","EMP","TOT","PC_WKGPOP","A","2002",65.45,
"IRL","EMP","TOT","PC_WKGPOP","A","2003",65.5,
"IRL","EMP","TOT","PC_WKGPOP","A","2004",66.275,"B"
"IRL","EMP","TOT","PC_WKGPOP","A","2005",67.625,
"IRL","EMP","TOT","PC_WKGPOP","A","2006",68.675,"B"
"IRL","EMP","TOT","PC_WKGPOP","A","2007",71.725,
"IRL","EMP","TOT","PC_WKGPOP","A","2008",69.65,"B"
"IRL","EMP","TOT","PC_WKGPOP","A","2009",63.625,
"IRL","EMP","TOT","PC_WKGPOP","A","2010",60.95,
"IRL","EMP","TOT","PC_WKGPOP","A","2011",60.025,
"IRL","EMP","TOT","PC_WKGPOP","A","2012",59.9,
"IRL","EMP","TOT","PC_WKGPOP","A","2013",61.75,
"IRL","EMP","TOT","PC_WKGPOP","A","2014",63.125,
"IRL","EMP","TOT","PC_WKGPOP","A","2015",64.7,
"IRL","EMP","TOT","PC_WKGPOP","A","2016",66.425,
"IRL","EMP","TOT","PC_WKGPOP","A","2017",67.575,
"IRL","EMP","TOT","PC_WKGPOP","A","2018",68.475,
"IRL","EMP","TOT","PC_WKGPOP","A","2019",69.45,
"IRL","EMP","TOT","PC_WKGPOP","A","2020",66.55,
"IRL","EMP","TOT","PC_WKGPOP","A","2021",69.85,
"ITA","EMP","TOT","PC_WKGPOP","A","1998",51.925,
"ITA","EMP","TOT","PC_WKGPOP","A","1999",52.675,
"ITA","EMP","TOT","PC_WKGPOP","A","2000",53.7,
"ITA","EMP","TOT","PC_WKGPOP","A","2001",54.8,
"ITA","EMP","TOT","PC_WKGPOP","A","2002",55.55,
"ITA","EMP","TOT","PC_WKGPOP","A","2003",56.1,"B"
"ITA","EMP","TOT","PC_WKGPOP","A","2004",57.725,"B"
"ITA","EMP","TOT","PC_WKGPOP","A","2005",57.575,
"ITA","EMP","TOT","PC_WKGPOP","A","2006",58.325,
"ITA","EMP","TOT","PC_WKGPOP","A","2007",58.575,
"ITA","EMP","TOT","PC_WKGPOP","A","2008",58.65,"B"
"ITA","EMP","TOT","PC_WKGPOP","A","2009",56.9,
"ITA","EMP","TOT","PC_WKGPOP","A","2010",56.25,
"ITA","EMP","TOT","PC_WKGPOP","A","2011",56.35,
"ITA","EMP","TOT","PC_WKGPOP","A","2012",56.075,
"ITA","EMP","TOT","PC_WKGPOP","A","2013",54.95,
"ITA","EMP","TOT","PC_WKGPOP","A","2014",55.275,
"ITA","EMP","TOT","PC_WKGPOP","A","2015",56.025,
"ITA","EMP","TOT","PC_WKGPOP","A","2016",57.05,
